51403,20.771,24.942,-3.393,Wine Cellar Area 1
51502,-6.925,26.869,-37.915,Bindery
51503,-8.986,26.868,-47.192,After Bindery Enigma
51504,-30.088,25.000,-86.811,After Bindery Typewriter (Save Point)
51610,11.122,19.000,-115.678,Castle Battlements Area 1
51600,76.843,22.999,-33.552,Castle Battlements Area 2
51200,83.396,26.952,18.818,Courtyard Area 1
51201,53.646,24.952,18.219,Courtyard Typewriter (Save Point)
51301,68.343,21.260,41.078,Courtyard Main
52101,109.239,24.150,40.364,Grand Hall
52303,97.670,30.268,62.807,Gallery Area 1
52202,113.486,28.082,9.609,Armory Upper Area
52202,122.603,24.097,8.070,Armory Lower Area
52401,140.682,27.270,25.164,Dining Hall
53100,125.268,27.291,56.203,Before Library (Ashley)
53102,119.950,27.295,80.577,Library (Ashley)
53202,133.572,33.209,53.693,Library Typewriter (Save Point) (Ashley)
53302,61.981,12.128,108.986,Mausoleum (Ashley)
54101,158.408,27.270,56.574,Grand Hall to Ballroom Area 1
54102,180.327,32.552,32.634,Ballroom
54300,246.214,29.488,56.373,Antechamber
54400,299.891,-38.700,56.747,The Depths Area 1
54400,289.613,-38.915,97.312,The Depths Area 2
54400,275.870,-29.694,61.605,The Depths Area 3
54402,196.756,-30.001,53.837,The Depths Typewriter (Save Point)
54404,202.397,-30.401,-8.109,Waterway Elevator
54407,130.508,-30.406,-18.535,Waterway Generator
55100,208.329,-18.820,-1.645,Mine Typewriter (Save Point) (Shooting Range)
55103,111.323,-4.882,-13.237,Mine Dynamite Area 1
55103,111.336,-5.123,-53.065,Mine Dynamite Area 2
55200,149.543,-11.695,46.419,Mine Blast Furnace Arena
55200,151.026,-11.695,56.142,After Blast Furnace
55201,99.693,-3.729,70.554,After Blast Furnace Typewriter (Save Point)
55202,186.301,-30.537,-183.240,Minecart Area 1
55300,179.722,-74.305,64.872,Minecart End
55300,214.492,-82.397,58.322,Hive Area 1
55300,152.226,-74.324,69.615,Hive Typewriter (Save Point)
55302,179.483,0.472,58.628,Krauser Hive Arena
56100,177.552,26.270,25.251,Ballroom Typewriter (Save Point)
56101,183.727,28.061,-89.067,Clock Tower Entrance
56103,182.956,66.000,-105.507,Clock Tower Elevator Top
56104,200.885,59.118,-95.017,Clock Tower Exterior Area 1
56103,194.340,58.189,-111.842,Clock Tower Typewriter (Save Point)
56200,249.953,50.146,-109.952,Salazar Boss Arena
56300,304.048,-3.263,-95.274,Castle Dock
60100,-65.949,-0.490,81.401,Wharf Start Area
60101,1.343,0.218,29.893,Wharf Typewriter (Save Point)
60110,-14.312,6.631,6.788,Wharf Area 1
60103,-9.192,6.968,19.609,Wharf Area 2
60200,21.607,16.924,-1.922,Wharf Area 3
61100,25.070,14.900,-52.726,Surveillance Room
61101,39.113,14.903,-59.122,Facility 1 Storage
61504,60.302,16.512,-74.623,Facility 1 Storage to Utility Upper Access
61500,85.321,16.509,-52.145,Utility Typewriter (Save Point)
61401,116.108,18.500,-97.793,Dissection Room
61204,114.024,14.500,-44.023,Systems Room
61200,63.239,11.814,-53.216,Incubation Lab to Facility 1 Lower Access
61107,63.347,12.133,-89.108,Facility 1 Typewriter (Save Point) (Shooting Range)
62100,57.479,12.142,-117.450,Cargo Depot Area 1
63100,16.700,16.683,-107.340,Facility 2 Area 1
63102,0.246,21.779,-98.229,Facility 2 Area 2
63106,-13.837,21.780,-93.497,Facility 2 Area 3
63108,-22.166,21.773,-112.198,Facility 2 Area 4
63108,3.575,21.773,-124.231,Waste Disposal After Bridge
63109,16.370,21.406,-121.223,Waste Disposal to Cargo Depot Typewriter (Save Point)
62201,52.905,16.404,-130.944,Cargo Depot Elevator Bottom
64100,54.586,25.737,-152.966,Cargo Depot Elevator Top
64101,59.338,25.745,-169.192,Amber Storeroom
65100,123.746,23.542,-131.195,Campsite Typewriter (Save Point)
65100,146.837,14.490,-174.653,Krauser Ruins Arena 1
65100,153.334,13.867,-191.757,Krauser Ruins Arena 2
65100,164.375,13.289,-136.992,Krauser Ruins Arena 3
65100,176.697,25.489,-171.700,Krauser Ruins Arena 4
66100,188.377,33.037,-206.475,After Ruins Typewriter (Save Point)
66102,152.205,33.409,-255.690,Stronghold Entrance
66103,92.518,35.974,-231.034,Bulwark Gate
66105,59.895,39.411,-264.661,Cliffside Ruins
67101,22.370,39.654,-225.150,Specimen Storage Entrance
67102,-1.050,39.232,-231.272,Specimen Storage Main
67103,-8.483,41.086,-231.528,Specimen Storage Typewriter (Save Point) (Shooting Range)
67104,-72.116,58.461,-171.121,Security Approach
68101,-101.443,60.520,-171.273,Sanctuary
68102,-133.960,62.270,-152.804,Sanctuary to Lab (Save Ashley)
68105,-76.866,61.519,-136.318,Luis's Laboratory
68300,-121.128,65.923,-179.860,Sanctuary Area 2
68205,-174.364,65.892,-176.687,Sanctuary Area 2 Typewriter (Save Point)
69100,-217.682,54.945,-204.928,Last Boss Arena (Do Not Use)
